calories,proteins,fat,carbohydrate,total_macros,kategori_nutrisi
280.0,9.2,28.4,0.0,37.599999999999994,Tidak Sehat
513.0,23.7,37.0,21.3,82.0,Tidak Sehat
0.0,0.0,0.2,0.0,0.2,Tidak Sehat
45.0,1.1,0.4,10.8,12.3,Tidak Sehat
37.0,4.4,0.5,3.8,8.7,Tidak Sehat
85.0,0.9,6.5,7.7,15.100000000000001,Tidak Sehat
96.0,3.7,0.6,19.1,23.400000000000002,Tidak Sehat
414.0,26.6,18.3,41.3,86.2,Sehat
75.0,4.1,2.1,10.7,16.9,Tidak Sehat
67.0,5.0,2.1,8.1,15.2,Tidak Sehat
184.0,18.8,14.0,0.0,32.8,Sehat
174.0,19.6,10.0,0.0,29.6,Sehat
190.0,19.1,12.0,0.0,31.1,Sehat
99.0,4.6,1.0,18.0,23.6,Tidak Sehat
25.0,1.6,0.2,5.3,7.1,Tidak Sehat
30.0,0.5,0.2,6.8,7.5,Tidak Sehat
354.0,16.4,31.5,0.0,47.9,Sehat
126.0,3.4,7.9,10.3,21.6,Tidak Sehat
58.0,0.3,0.4,14.9,15.6,Tidak Sehat
57.0,0.5,0.4,12.8,13.700000000000001,Tidak Sehat
37.0,0.8,0.5,8.3,9.600000000000001,Tidak Sehat
113.0,0.9,7.2,11.2,19.299999999999997,Tidak Sehat
102.0,1.0,0.2,24.1,25.3,Tidak Sehat
277.0,2.4,25.0,10.7,38.099999999999994,Tidak Sehat
75.0,0.2,1.1,16.1,17.400000000000002,Tidak Sehat
239.0,2.8,0.6,62.5,65.9,Tidak Sehat
135.0,0.8,0.4,32.1,33.300000000000004,Tidak Sehat
261.0,0.9,1.6,63.3,65.8,Tidak Sehat
98.0,3.9,2.6,14.8,21.3,Tidak Sehat
302.0,18.2,25.0,0.0,43.2,Sehat
297.0,35.9,15.2,1.6,52.699999999999996,Sehat
270.0,32.3,11.2,9.9,53.4,Sehat
75.0,13.8,1.9,0.7,16.400000000000002,Sehat
295.0,34.0,16.0,1.5,51.5,Sehat
338.0,35.2,20.6,0.4,56.2,Sehat
275.0,37.4,12.2,1.3,50.89999999999999,Sehat
298.0,34.2,16.8,0.1,51.1,Sehat
286.0,32.1,16.1,1.1,49.300000000000004,Sehat
295.0,39.2,13.6,1.0,53.800000000000004,Sehat
287.0,31.0,15.7,1.7,48.400000000000006,Sehat
246.0,37.9,9.0,0.7,47.6,Sehat
245.0,33.1,11.4,0.3,44.8,Sehat
295.0,37.4,14.7,0.6,52.699999999999996,Sehat
244.0,36.7,9.2,1.0,46.900000000000006,Sehat
283.0,35.7,14.3,0.5,50.5,Sehat
261.0,27.4,16.1,1.6,45.1,Sehat
264.0,18.2,20.1,2.7,41.0,Sehat
473.0,45.2,26.3,13.9,85.4,Sehat
113.0,17.6,4.2,0.0,21.8,Sehat
453.0,11.9,45.0,0.0,56.9,Sehat
371.0,14.1,35.0,0.0,49.1,Sehat
110.0,16.3,4.6,0.8,21.7,Sehat
129.0,19.7,4.8,1.7,26.2,Sehat
491.0,24.6,16.3,0.2,41.10000000000001,Sehat
102.9,3.3,2.7,16.3,22.3,Tidak Sehat
450.0,3.2,13.9,78.1,95.19999999999999,Tidak Sehat
452.0,1.3,13.8,80.6,95.69999999999999,Tidak Sehat
529.0,3.2,29.1,63.6,95.9,Tidak Sehat
523.0,3.2,28.2,64.2,95.6,Tidak Sehat
416.0,6.5,9.4,76.3,92.2,Tidak Sehat
382.0,0.3,3.5,87.2,91.0,Tidak Sehat
129.0,1.9,6.6,15.6,24.1,Tidak Sehat
272.0,8.7,6.7,44.1,59.5,Tidak Sehat
76.0,4.1,2.5,9.2,15.799999999999999,Tidak Sehat
27.0,2.0,0.2,4.2,6.4,Tidak Sehat
